University/College,Course Name,Level,Full-time/Part-time,Mode of Study,Location,Fee (/year),Duration
Australian National University,Master of Environmental Law,Master,Full-time,On Campus,"Canberra, ACT",42000,2
Monash University,Master of Professional Psychology,Master,Full-time,On Campus,"Melbourne, Victoria",36000,1
University of Queensland,Master of Environmental Management,Master,Full-time,On Campus,"Brisbane, Queensland",35520,2
University of Adelaide,Master of Applied Economics,Master,Full-time,On Campus,"Adelaide, South Australia",33000,2
Australian National University,Master of International Law,Master,Full-time,On Campus,"Canberra, Australian Capital Territory",40000,1
University of Melbourne,Master of Urban Planning,Master,Full-time,On Campus,"Melbourne, Victoria",36500,2
University of Sydney,Master of Data Analytics,Master,Full-time,On Campus,"Sydney, New South Wales",38000,1.5
Curtin University,Master of Engineering (Civil),Master,Full-time,On Campus,"Perth, Western Australia",34000,2
University of Western Australia,Master of Environmental Science,Master,Full-time,On Campus,"Perth, Western Australia",37000,1.5
University of Technology Sydney,Master of Health Policy,Master,Full-time,On Campus,"Sydney, New South Wales",39000,1.5
University of Canberra,Master of Nursing Practice,Master,Full-time,On Campus,"Canberra, Australian Capital Territory",32000,1.5
Bond University,Master of Sports Management,Master,Full-time,On Campus,"Gold Coast, Queensland",41500,1.5
Griffith University,Master of International Business,Master,Full-time,On Campus,"Brisbane, Queensland",36500,1.5
University of Tasmania,Master of Marine Science,Master,Full-time,On Campus,"Hobart, Tasmania",36000,2
Macquarie University,Master of Applied Finance,Master,Full-time,On Campus,"Sydney, New South Wales",40000,1.5
La Trobe University,Master of Physiotherapy,Master,Full-time,On Campus,"Melbourne, Victoria",37000,2
Federation University,Master of Business Administration,Master,Full-time,On Campus,"Ballarat, Victoria",33000,2
University of Southern Queensland,Master of Public Health,Master,Full-time,On Campus,"Toowoomba, Queensland",34000,2
Edith Cowan University,Master of Speech Pathology,Master,Full-time,On Campus,"Perth, Western Australia",35000,2
Victoria University,Master of Information Systems,Master,Full-time,On Campus,"Melbourne, Victoria",36000,2
RMIT University,Master of International Development,Master,Full-time,On Campus,"Melbourne, Victoria",35500,2
University of Notre Dame,Master of Education,Master,Full-time,On Campus,"Fremantle, Western Australia",33000,1
Charles Sturt University,Master of Information Technology(MIT),Master,Full-time,On Campus,"Bathurst, New South Wales",33500,2
CQUniversity,Master of Project Management,Master,Full-time,On Campus,"Rockhampton, Queensland",34000,1.5
Flinders University,Master of Cognitive Behaviour Therapy,Master,Full-time,On Campus,"Adelaide, South Australia",33500,1.5
Western Sydney University,Master of Urban Management and Planning,Master,Full-time,On Campus,"Sydney, New South Wales",35500,2
University of New England,Master of Environmental Science,Master,Full-time,On Campus,"Armidale, New South Wales",34232,1
University of New South Wales,Master of Materials Engineering,Master,Full-time,On Campus,"Kensington, New South Wales",41000,2
University of Sydney,Master of Economic Analysis,Master,Full-time,On Campus,"Sydney, New South Wales",40100,1.5
University of Southern Queensland,Master of Mental Health Counselling,Master,Part-time,Online,Queensland,13320,1
University of New South Wales,Master of Telecommunications Engineering,Master,Full-time,Blended,"Kensington, New South Wales",41000,2
University of Adelaide,Master of Biotechnology,Master,Full-time,On Campus,"Adelaide, South Australia",39000,2
University of Newcastle,Master of Professional Engineering (Mechanical),Master,Full-time,On Campus,"Newcastle, New South Wales",33990,2
Charles Darwin University,Master of Nutrition,Master,Full-time,On Campus,"Darwin, Northern Territory",31584,2
University of Wollongong,Master of Information Sciences,Master,Full-time,On Campus,"Wollongong, New South Wales",36432,2
RMIT University,Master of Business Administration,MBA,Full-time,On Campus,"Melbourne, Victoria",38400,2
University of Queensland,Master of Commerce,Master,Full-time,On Campus,"Brisbane, Queensland",39840,1.5
University of Adelaide,Master of Accounting and Finance,Master,Full-time,On Campus,"Adelaide, South Australia",39000,2
University of New England,Master of Environmental Geospatial Science,Master,Full-time,On Campus,"Armidale, New South Wales",38600,1
University of New South Wales,Master of Animation and Visual Effects,Master,Full-time,Blended,"Paddington, Sydney, New South Wales",6500,2
University of Newcastle,Master of Business Administration (Advanced),Master,Full-time,On Campus,"Newcastle, New South Wales",37520,2
University of Southern Queensland,Master of Applied Information Technology,Master,Full-time,On Campus,"Toowoomba, Queensland",28750,2
Australian National University,Master of Global Business,Master,Full-time,On Campus,"Canberra, Australian Capital Territory",37000,2
University of Sydney,Master of Health Economics,Master,Full-time,On Campus,"Sydney, New South Wales",31600,1.5
Curtin University,Master of Digital Transformation,Master,Full-time,Online,"Perth, Western Australia",22800,2
Deakin University,Master of Physics,Master,Full-time,On Campus,"Melbourne, Victoria",38920,2
Bond University,Master of Construction Practice,Master,Full-time,On Campus,"Gold Coast, Queensland",44750,2
University of Queensland,Master of Financial Mathematics,Master,Full-time,On Campus,"Brisbane, Queensland",34980,2
University of Adelaide,Master of Biological Science,Master,Full-time,On Campus,"Adelaide, South Australia",38960,2
University of Tasmania,Master of Environmental Law,Master,Full-time,On Campus,"Hobart, Tasmania",34300,1
University of New South Wales,Master of Business Law,Master,Part-time,Online,"Sydney, New South Wales",31500,2
Macquarie University,Master of Research (Business),Master,Full-time,On Campus,"Sydney, New South Wales",33500,1
University of Melbourne,Master of Education,Master,Full-time,On Campus,"Melbourne, Victoria",34750,2
University of New England,Master of Applied Finance,Master,Full-time,On Campus,"Armidale, New South Wales",32500,1.5
Victoria University,Master of Teaching (Secondary),Master,Full-time,On Campus,"Melbourne, Victoria",31500,2
University of Canberra,Master of International Relations,Master,Full-time,On Campus,"Canberra, Australian Capital Territory",34000,1
Curtin University,Master of Applied Finance,Master,Full-time,On Campus,"Perth, Western Australia",32600,1.5
University of Queensland,Master of International Public Health,Master,Full-time,On Campus,"Brisbane, Queensland",25890,2
Macquarie University,Master of Data Science,Master,Full-time,On Campus,"Sydney, New South Wales",32700,1.5
University of New England,Master of Teaching (Primary),Master,Full-time,On Campus,"Armidale, New South Wales",24600,2
University of Melbourne,Master of Urban Planning,Master,Full-time,On Campus,"Melbourne, Victoria",44200,2
Federation University Australia,Master of Business Administration (Health),Master,Full-time,On Campus,"Ballarat, Victoria",31200,1.5
James Cook University,Master of Marine Science,Master,Full-time,On Campus,"Townsville, Queensland",27800,2
Bond University,Master of International Relations,Master,Full-time,On Campus,"Gold Coast, Queensland",33500,1.5
University of Adelaide,Master of Applied Economics,Master,Full-time,On Campus,"Adelaide, South Australia",37850,2
University of Tasmania,Master of Environmental Planning,Master,Full-time,On Campus,"Hobart, Tasmania",29400,1.5
Western Sydney University,Master of Creative Writing,Master,Full-time,On Campus,"Sydney, New South Wales",25600,2
RMIT University,Master of Analytics,Master,Full-time,On Campus,"Melbourne, Victoria",33600,2
Charles Sturt University,Master of Public Administration,Master,Full-time,On Campus,"Bathurst, New South Wales",29200,1.5
Southern Cross University,Master of Marine Science and Management,Master,Full-time,On Campus,"Coffs Harbour, New South Wales",30500,2
Victoria University,Master of Business Analytics,Master,Full-time,On Campus,"Melbourne, Victoria",32450,1.5
University of Canberra,Master of International Relations,Master,Full-time,On Campus,"Canberra, Australian Capital Territory",29200,2
La Trobe University,Master of Social Work,Master,Full-time,On Campus,"Melbourne, Victoria",31500,2
Murdoch University,Master of Environmental Science,Master,Full-time,On Campus,"Perth, Western Australia",27850,2
University of Wollongong,Master of Business Law,Master,Full-time,On Campus,"Wollongong, New South Wales",29600,1.5
CQUniversity,Master of Professional Accounting,Master,Full-time,On Campus,"Rockhampton, Queensland",29500,1.5
University of Southern Queensland,Master of Business Administration,Master,Full-time,On Campus,"Toowoomba, Queensland",28200,1.5
University of Notre Dame Australia,Master of Education (Leadership),Master,Full-time,On Campus,"Fremantle, Western Australia",26450,2
University of New South Wales,Master of Cyber Security,Master,Full-time,On Campus,"Sydney, New South Wales",41200,2
University of Sydney,Master of Business Analytics,Master,Full-time,On Campus,"Sydney, New South Wales",43200,1.5
University of Tasmania,Master of Environmental Science,Master,Full-time,On Campus,"Hobart, Tasmania",29850,2
Griffith University,Master of International Business,Master,Full-time,On Campus,"Brisbane, Queensland",36200,1.5
Federation University Australia,Master of Supply Chain Management,Master,Full-time,On Campus,"Ballarat, Victoria",32200,1.5
Edith Cowan University,Master of Occupational Health and Safety,Master,Full-time,On Campus,"Perth, Western Australia",26800,2
University of Newcastle,Master of Business Administration,Master,Full-time,On Campus,"Newcastle, New South Wales",34100,1.5
University of Queensland,Master of Finance,Master,Full-time,On Campus,"Brisbane, Queensland",38600,1.5
Federation University,Master of Business Administration,Master,Full-time,On Campus,"Ballarat, Victoria",34500,1.5
La Trobe University,Master of Data Science,Master,Full-time,On Campus,"Melbourne, Victoria",42000,2
Southern Cross University,Master of Health Science,Master,Full-time,On Campus,"Lismore, New South Wales",31500,2
University of Tasmania,Master of Professional Engineering (Civil),Master,Full-time,On Campus,"Hobart, Tasmania",38000,2
Edith Cowan University,Master of Cyber Security,Master,Full-time,On Campus,"Perth, Western Australia",33500,2
James Cook University,Master of Public Health,Master,Full-time,On Campus,"Cairns, Queensland",36000,2
University of Adelaide,Master of Marine Biology,Master,Full-time,On Campus,"Adelaide, South Australia",35000,2
University of South Australia,Master of Business Information Systems,Master,Full-time,On Campus,"Adelaide, South Australia",34000,1.5
Griffith University,Master of Digital Media,Master,Full-time,On Campus,"Brisbane, Queensland",32000,1.5
University of Queensland,Master of Economics,Master,Full-time,On Campus,"Brisbane, Queensland",37500,2
Macquarie University,Master of Strategic Communication,Master,Full-time,On Campus,"Sydney, New South Wales",41000,1.5
Bond University,Master of Applied Finance,Master,Full-time,On Campus,"Gold Coast, Queensland",47000,1
Curtin University,Master of Environmental Management,Master,Full-time,On Campus,"Perth, Western Australia",34500,2
