Curtin University,Bachelor of Urban Planning,Bachelor,Full-time,On Campus,"Perth, Western Australia",36500,3
Curtin University,Bachelor of Interior Architecture,Bachelor,Full-time,On Campus,"Perth, Western Australia",37000,3
University of New South Wales,Bachelor of Aviation,Bachelor,Full-time,On Campus,"Sydney, New South Wales",39000,3
University of Adelaide,Bachelor of Environmental Policy and Management,Bachelor,Full-time,On Campus,"Adelaide, South Australia",38000,3
University of Queensland,Bachelor of Music,Bachelor,Full-time,On Campus,"Brisbane, Queensland",42000,3
University of Queensland,Bachelor of Pharmacy,Bachelor,Full-time,On Campus,"Brisbane, Queensland",41000,3
Monash University,Bachelor of Biomedical Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria",37000,3
University of Western Australia,Bachelor of Philosophy (Honours),Bachelor,Full-time,On Campus,"Perth, Western Australia",40000,3
Bond University,Bachelor of Film and Television,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",39000,3
University of Canberra,Bachelor of Sports Management,Bachelor,Full-time,On Campus,"Canberra, ACT",32000,3
CQUniversity,Bachelor of Medical Imaging,Bachelor,Full-time,On Campus,"Rockhampton, Queensland",37000,3
University of South Australia,Bachelor of Social Work,Bachelor,Full-time,On Campus,"Adelaide, South Australia",36000,3
Griffith University,Bachelor of Creative Industries,Bachelor,Full-time,On Campus,"Brisbane, Queensland",34000,3
Murdoch University,Bachelor of Community Development,Bachelor,Full-time,On Campus,"Perth, Western Australia",35000,3
University of Melbourne,Bachelor of Fine Arts,Bachelor,Full-time,On Campus,"Melbourne, Victoria",39000,3
University of Newcastle,Bachelor of Development Studies,Bachelor,Full-time,On Campus,"Newcastle, New South Wales",35000,3
Western Sydney University,Bachelor of Business (Finance),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
University of Tasmania,Bachelor of Paramedicine,Bachelor,Full-time,On Campus,"Hobart, Tasmania",33000,3
Victoria University,Bachelor of Psychological Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria",36000,3
Federation University,Bachelor of Nursing,Bachelor,Full-time,On Campus,"Ballarat, Victoria",34000,3
Macquarie University,Bachelor of Cyber Security,Bachelor,Full-time,On Campus,"Sydney, New South Wales",37000,3
Swinburne University of Technology,Bachelor of Industrial Design,Bachelor,Full-time,On Campus,"Melbourne, Victoria",36000,3
RMIT University,Bachelor of Chemical Engineering,Bachelor,Full-time,On Campus,"Melbourne, Victoria",38000,3
Deakin University,Bachelor of Business (Entrepreneurship),Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
Kaplan Business School,Bachelor of Business (Accounting),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
Whitehouse Institute of Design,Bachelor of Creative Direction,Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,3
Blue Mountains International Hotel Management School,Bachelor of Hotel Management,Bachelor,Full-time,On Campus,"Leura, New South Wales",38000,3
Australian College of Physical Education (ACPE),Bachelor of Sports Coaching (Health Science),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Billy Blue College of Design,Bachelor of Media Design,Bachelor,Full-time,On Campus,"Sydney, New South Wales",37000,3
Le Cordon Bleu Australia,Bachelor of Tourism Management,Bachelor,Full-time,On Campus,"Adelaide, South Australia",36000,3
Australian Maritime College,Bachelor of Engineering (Naval Architecture),Bachelor,Full-time,On Campus,"Launceston, Tasmania",34000,3
"International College of Management, Sydney (ICMS)",Bachelor of Business (Finance),Bachelor,Full-time,On Campus,"Sydney, New South Wales",35000,3
Macleay College,Bachelor of Advertising and Media,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
Holmesglen Institute,Bachelor of Construction Management (Honours),Bachelor,Full-time,On Campus,"Melbourne, Victoria",37000,3
Navitas College of Public Safety,Bachelor of Policing,Bachelor,Full-time,On Campus,"Melbourne, Victoria",35000,3
Endeavour College of Natural Health,Bachelor of Health Science (Herbal Medicine),Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,3
SAE Creative Media Institute,Bachelor of Game Development,Bachelor,Full-time,On Campus,"Byron Bay, New South Wales",34000,3
University of Adelaide,Bachelor of Agricultural Sciences,Bachelor,Full-time,On Campus,"Adelaide, South Australia",38000,3
Australian National University,"Bachelor of Politics, Philosophy and Economics (Honours)",Bachelor,Full-time,On Campus,"Canberra, ACT",48035,3
University of New England,Bachelor of Business (Accounting),Bachelor,"Full-time, Part-time","Online, On Campus",Multiple locations,15798,3
Flinders University,Bachelor of Inclusive and Specialised Education (Early Childhood),Bachelor,"Full-time, Part-time",On Campus,"Adelaide, South Australia",4400,3
University of Tasmania,Bachelor of Surveying (Honours) - Bachelor of Business,Bachelor,"Full-time, Part-time",On Campus,"Newcastle, New South Wales",40170,3
University of Sydney,Bachelor of Liberal Arts and Science (Honours),Bachelor,"Full-time, Part-time",On Campus,"Sydney, New South Wales",16323,3
University of Southern Queensland,Bachelor of Arts and Bachelor of Business,Bachelor,"Full-time, Part-time","Online, On Campus",Multiple locations,25040,3
Australian National University,Bachelor of Pacific Studies,Bachelor,Full-time,On Campus,"Canberra, ACT",45060,3
University of Tasmania,Bachelor of Science (Conservation Biology),Bachelor,Full-time,On Campus,"Perth, Western Australia",33600,3
Charles Sturt University,Bachelor of Agriculture,Bachelor,"Full-time, Part-time","Online, On Campus","Wagga, New South Wales",7716,3
RMIT University,Bachelor of Chemical Engineering (Honours),Bachelor,"Full-time, Part-time",On Campus,"Melbourne, Victoria",4627,3
University of New South Wales,Bachelor of Commerce - Bachelor of Advanced Science (Honours),Bachelor,Full-time,Blended,"Kensington, New South Wales",13500,3
Deakin University,"Bachelor of Film, Television and Animation",Bachelor,"Full-time, Part-time",On Campus,"Melbourne, Victoria",14725,3
Swinburne University of Technology,Bachelor of Social Science - Behavioural Studies,Bachelor,"Full-time, Part-time",Online,Online,16323,3
Victoria University,Bachelor of Laws,Bachelor,"Full-time, Part-time",On Campus,"Melbourne, Victoria",33400,3
La Trobe University,Bachelor of Finance,Bachelor,"Full-time, Part-time","Online, On Campus",Multiple locations,14786,3
Australian National University,Bachelor of Development Studies (Honours),Bachelor,Full-time,On Campus,"Canberra, ACT",50760,3
University of Notre Dame Australia,Bachelor of Communications and Media,Bachelor,"Full-time, Part-time",On Campus,"Fremantle, Western Australia",30015,3
Queensland University of Technology,Bachelor of Interaction Design - Information Technology,Bachelor,Full-time,On Campus,"Brisbane, Queensland",9000,3
University of Melbourne,Bachelor of Biomedicine,Bachelor,Full-time,On Campus,"Melbourne, Victoria",39000,3
University of Queensland,Bachelor of Marine Biology,Bachelor,Full-time,On Campus,"Brisbane, Queensland",41000,3
University of Western Australia,Bachelor of Sports Science,Bachelor,Full-time,On Campus,"Perth, Western Australia",38000,3
University of Sydney,Bachelor of Criminology,Bachelor,Full-time,On Campus,"Sydney, New South Wales",40000,3
University of Tasmania,Bachelor of Agricultural Science,Bachelor,Full-time,On Campus,"Hobart, Tasmania",34000,3
Griffith University,Bachelor of Film and Screen Media Production,Bachelor,Full-time,On Campus,"Brisbane, Queensland",35000,3
La Trobe University,Bachelor of International Relations,Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
Bond University,Bachelor of Social Science (Criminology),Bachelor,Full-time,On Campus,"Gold Coast, Queensland",37000,3
University of South Australia,Bachelor of Creative Arts,Bachelor,Full-time,On Campus,"Adelaide, South Australia",35000,3
Western Sydney University,Bachelor of Communication,Bachelor,Full-time,On Campus,"Sydney, New South Wales",32000,3
Federation University,Bachelor of Physical Education,Bachelor,Full-time,On Campus,"Ballarat, Victoria",34000,3
Victoria University,Bachelor of Business (Event Management),Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
University of Technology Sydney,Bachelor of Engineering (Civil Engineering),Bachelor,Full-time,On Campus,"Sydney, New South Wales",41000,3
RMIT University,Bachelor of Fashion Design,Bachelor,Full-time,On Campus,"Melbourne, Victoria",38000,3
Charles Sturt University,Bachelor of Information Technology,Bachelor,Full-time,On Campus,"Wagga, New South Wales",31000,3
Macquarie University,Bachelor of Economics,Bachelor,Full-time,On Campus,"Sydney, New South Wales",36000,3
CQUniversity,Bachelor of Nursing,Bachelor,Full-time,On Campus,"Rockhampton, Queensland",35000,3
Curtin University,Bachelor of Chemical Engineering,Bachelor,Full-time,On Campus,"Perth, Western Australia",39000,3
Flinders University,Bachelor of Medical Science,Bachelor,Full-time,On Campus,"Adelaide, South Australia",36000,3
Southern Cross University,Bachelor of Occupational Therapy,Bachelor,Full-time,On Campus,"Lismore, New South Wales",32000,3
Swinburne University of Technology,Bachelor of Applied Innovation,Bachelor,Full-time,On Campus,"Melbourne, Victoria",33000,3
University of Canberra,Bachelor of Business (Tourism),Bachelor,Full-time,On Campus,"Canberra, ACT",33000,3
University of Melbourne,Bachelor of Agriculture,Bachelor,Full-time,On Campus,"Melbourne, Victoria",38000,3
University of New England,Bachelor of Pharmacy,Bachelor,Full-time,On Campus,"Armidale, New South Wales",34000,3
Griffith University,Bachelor of Health Science (Physiotherapy),Bachelor,Full-time,On Campus,"Brisbane, Queensland",35000,3
Curtin University,Bachelor of Engineering (Mining Engineering),Bachelor,Full-time,On Campus,"Perth, Western Australia",39000,3
University of Queensland,Bachelor of Business Management,Bachelor,Full-time,On Campus,"Brisbane, Queensland",40000,3
Macquarie University,Bachelor of Applied Finance,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
University of Adelaide,Bachelor of Viticulture and Oenology,Bachelor,Full-time,On Campus,"Adelaide, South Australia",37000,3
Bond University,Bachelor of Project Management,Bachelor,Full-time,On Campus,"Gold Coast, Queensland",34000,3
La Trobe University,Bachelor of Animal and Veterinary Biosciences,Bachelor,Full-time,On Campus,"Melbourne, Victoria",37000,3
Victoria University,Bachelor of Construction Management,Bachelor,Full-time,On Campus,"Melbourne, Victoria",36000,3
University of South Australia,Bachelor of Mathematical Sciences,Bachelor,Full-time,On Campus,"Adelaide, South Australia",35000,3
Flinders University,Bachelor of Nursing (Registered Nurse),Bachelor,Full-time,On Campus,"Adelaide, South Australia",31000,3
CQUniversity,Bachelor of Science (Agriculture),Bachelor,Full-time,On Campus,"Rockhampton, Queensland",34000,3
Charles Sturt University,Bachelor of Environmental Science,Bachelor,Full-time,On Campus,"Wagga, New South Wales",32000,3
University of Western Australia,Bachelor of Data Science,Bachelor,Full-time,On Campus,"Perth, Western Australia",38000,3
University of Newcastle,Bachelor of Information Technology,Bachelor,Full-time,On Campus,"Newcastle, New South Wales",36000,3
Western Sydney University,Bachelor of Science (Biotechnology),Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
University of Melbourne,Bachelor of Oral Health,Bachelor,Full-time,On Campus,"Melbourne, Victoria",36000,3
University of Queensland,Bachelor of Sustainable Agriculture,Bachelor,Full-time,On Campus,"Brisbane, Queensland",37000,3
Curtin University,Bachelor of Applied Science (Occupational Therapy),Bachelor,Full-time,On Campus,"Perth, Western Australia",40000,3
University of Western Australia,Bachelor of Science (Environmental Science),Bachelor,Full-time,On Campus,"Perth, Western Australia",35000,3
University of Adelaide,Bachelor of Engineering (Civil and Structural Engineering),Bachelor,Full-time,On Campus,"Adelaide, South Australia",38000,3
Monash University,Bachelor of Pharmaceutical Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria",39000,3
Griffith University,Bachelor of Environmental Science,Bachelor,Full-time,On Campus,"Brisbane, Queensland",33000,3
University of Tasmania,Bachelor of Medical Research,Bachelor,Full-time,On Campus,"Hobart, Tasmania",34000,3
La Trobe University,Bachelor of Arts (Philosophy and History),Bachelor,Full-time,On Campus,"Melbourne, Victoria",32000,3
University of New South Wales,Bachelor of Advanced Science (Honours),Bachelor,Full-time,On Campus,"Sydney, New South Wales",39000,3
Macquarie University,Bachelor of Global Business,Bachelor,Full-time,On Campus,"Sydney, New South Wales",34000,3
University of South Australia,Bachelor of Engineering (Electrical and Electronic Engineering),Bachelor,Full-time,On Campus,"Adelaide, South Australia",36000,3
Victoria University,Bachelor of Health Science (Paramedicine),Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
Western Sydney University,Bachelor of Information and Communication Technology,Bachelor,Full-time,On Campus,"Sydney, New South Wales",33000,3
University of Canberra,Bachelor of Architecture,Bachelor,Full-time,On Campus,"Canberra, ACT",33000,3
Flinders University,Bachelor of Creative Arts (Screen),Bachelor,Full-time,On Campus,"Adelaide, South Australia",35000,3
Charles Sturt University,Bachelor of Policing,Bachelor,Full-time,On Campus,"Wagga, New South Wales",32000,3
CQUniversity,Bachelor of Psychological Science,Bachelor,Full-time,On Campus,"Rockhampton, Queensland",32000,3
Southern Cross University,Bachelor of Social Welfare,Bachelor,Full-time,On Campus,"Lismore, New South Wales",32000,3
RMIT University,Bachelor of Chemical Engineering,Bachelor,Full-time,On Campus,"Melbourne, Victoria",34000,3
University of Melbourne,Bachelor of Data Science,Bachelor,Full-time,On Campus,"Melbourne, Victoria",37000,3
University of Queensland,Bachelor of Agricultural Science,Bachelor,Full-time,On Campus,"Brisbane, Queensland",38000,3
Curtin University,Bachelor of Education (Secondary),Bachelor,Full-time,On Campus,"Perth, Western Australia",36000,3
University of Western Australia,Bachelor of International Studies,Bachelor,Full-time,On Campus,"Perth, Western Australia",37000,3
University of Adelaide,Bachelor of International Business,Bachelor,Full-time,On Campus,"Adelaide, South Australia",34000,3
Monash University,Bachelor of Software Engineering,Bachelor,Full-time,On Campus,"Melbourne, Victoria",39000,3
